A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.3,-10000.342828569252,3
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.2,-10000.342828569252,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.3,-10000.342828569252,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.4,-10000.342828569252,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.4,-10000.342828569252,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.35,-10000.342828569252,9
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.3,-10000.319038350926,2
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.25,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.25,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.45,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350926,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.3,-10000.319038350925,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350925,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-10000.319038350925,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.4,-10000.319038350925,2
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.4,-10000.319038350925,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.25,-10000.31903835092,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.35,-10000.31804302321,3
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.3,-10000.31804302321,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.3,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.4,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.4,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.35,-10000.306309798465,3
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.4,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.25,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.35,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.4,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.25,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.35,-10000.306309798465,2
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.25,-10000.306309798465,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0.35,-10000.282741818224,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0.25,-10000.282741818224,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0.35,-10000.272332420625,1
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0.2,-10000.262617901328,1
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0.2,-10000.238994087353,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.3,-9900.3508864235,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.45,-9900.3508864235,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.3,-9900.3508864235,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-9900.3508864235,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-9900.350886423497,2
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.3,-9900.350886423497,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.2,-9900.350886423497,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0.35,-9900.350886423497,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.35,-9900.339747744485,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0.3,-9900.339747744485,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.4,-9900.318551273098,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.3,-9900.318551273098,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.3,-9900.318551273098,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.4,-9900.318551273094,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.3,-9900.318551273094,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.35,-9900.318551273094,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.25,-9900.308443583983,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.3,-9900.308443583983,2
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.3,-9900.308443583983,5
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.4,-9900.308443583981,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.35,-9900.308443583981,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.35,-9900.308443583981,3
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.25,-9900.308443583977,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.3,-9900.282611800587,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.35,-9900.282611800587,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.35,-9900.282611800587,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0.35,-9900.282611800583,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0.35,-9900.26724400448,1
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0.25,-9900.246023360685,1
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0.25,-9900.246023360683,1
0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0.3,-9900.246023360683,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.35,-9600.34945230642,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.35,-9600.34945230642,1
1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.3,-9600.34945230642,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.25,-9600.302365059157,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.35,-9600.268760694527,2
